track_id,genre
2,Hip-Hop
3,Hip-Hop
5,Hip-Hop
10,Pop
20,Experimental Pop
26,Experimental Pop
30,Experimental Pop
46,Experimental Pop
48,Experimental Pop
134,Hip-Hop
135,Loud-Rock
136,Loud-Rock
137,Avant-Garde
138,Avant-Garde
139,Folk
140,Folk
141,Folk
142,Folk
144,Jazz
145,Jazz
146,Jazz
147,Jazz
148,Avant-Garde
149,Avant-Garde
150,Avant-Garde
151,Punk
152,Punk
153,Post-Rock
154,Post-Rock
155,Post-Rock
156,Field Recordings
157,Field Recordings
158,Field Recordings
159,Field Recordings
160,Field Recordings
161,Field Recordings
162,Field Recordings
163,Field Recordings
164,Field Recordings
165,Field Recordings
166,Field Recordings
167,Field Recordings
168,Field Recordings
169,Punk
170,Punk
171,Punk
172,Punk
173,Punk
174,Punk
175,Punk
176,Punk
177,Punk
178,Punk
179,Punk
181,Lo-Fi
182,Lo-Fi
183,Lo-Fi
184,Lo-Fi
185,Lo-Fi
188,Folk
189,Folk
190,Folk
191,Folk
192,Folk
193,Folk
194,Folk
195,Folk
196,Folk
197,Folk
198,Folk
199,Folk
200,Folk
201,Folk
202,Folk
203,Folk
204,Folk
205,Folk
206,Folk
207,Folk
208,Folk
209,Folk
210,Folk
211,Folk
212,Folk
213,Pop
226,Punk
228,Punk
236,Electronic
237,Jazz
238,Jazz
246,Rock
247,Rock
248,Rock
249,Rock
250,Rock
251,Rock
252,Rock
253,Rock
254,Rock
255,Rock
256,Metal
257,Metal
258,Metal
273,Noise
274,Noise
275,Noise
276,Noise
277,Noise
281,Noise
282,Noise
284,Noise
285,Noise
293,Noise
294,Noise
297,Noise
300,Noise
303,Post-Punk
304,Post-Punk
305,Post-Punk
306,Post-Punk
307,Post-Punk
308,Post-Punk
309,Post-Punk
310,Post-Punk
311,Post-Punk
312,Post-Punk
313,Post-Punk
314,Post-Punk
315,Post-Punk
316,Post-Punk
317,Post-Punk
318,Post-Punk
319,Post-Punk
320,Post-Punk
321,Post-Punk
322,Post-Punk
323,Post-Punk
324,Post-Punk
325,Post-Punk
326,Post-Punk
327,Post-Punk
328,Post-Punk
330,Post-Punk
331,Post-Punk
332,Post-Punk
333,Post-Punk
334,Post-Punk
335,Post-Punk
336,Post-Punk
337,Post-Punk
338,Post-Punk
339,Post-Punk
340,Post-Punk
341,Post-Punk
342,Post-Punk
343,Post-Punk
344,Post-Punk
345,Post-Punk
346,Post-Punk
347,Post-Punk
348,Post-Punk
349,Post-Punk
350,Post-Punk
351,Post-Punk
352,Post-Punk
353,Post-Punk
354,Post-Punk
355,Post-Punk
356,Post-Punk
357,Post-Punk
358,Post-Punk
359,Post-Punk
360,Post-Punk
361,Post-Punk
362,Post-Punk
363,Post-Punk
364,Post-Punk
365,Post-Punk
